"SourceUnit","OriginalTestClass","OriginalTestMethod","Status","NexusTest","Notes"
"tcclasstype.pas","TTestClassType","TestOneSpecializedClassInterface","deferred because NexusPas does not yet support the required feature","","Not yet ported as an active NexusPas assertion in this milestone; tracked for future parser coverage."
"tcclasstype.pas","TTestClassType","TestOneField","active NexusPas test with adjusted Nexus expectation","NexusPas.PassrcPort.ClassMembersAndPropertySymbols","Class field behavior translated to nested Nexus symbol."
"tcclasstype.pas","TTestClassType","TestOneFieldComment","deferred because NexusPas does not yet support the required feature","","Not yet ported as an active NexusPas assertion in this milestone; tracked for future parser coverage."
"tcclasstype.pas","TTestClassType","TestOneFieldStatic","deferred because NexusPas does not yet support the required feature","","Not yet ported as an active NexusPas assertion in this milestone; tracked for future parser coverage."
"tcclasstype.pas","TTestClassType","TestOneHelperField","active NexusPas test with adjusted Nexus expectation","NexusPas.PassrcPort.ClassFieldMethodStructuralVariants","NexusPas asserts structural member symbols and declared type text; passrc AST/object-model expectations are intentionally not preserved."
"tcclasstype.pas","TTestClassType","TestOneVarField","active NexusPas test with adjusted Nexus expectation","NexusPas.PassrcPort.ClassFieldMethodStructuralVariants","NexusPas asserts structural member symbols and declared type text; passrc AST/object-model expectations are intentionally not preserved."
"tcclasstype.pas","TTestClassType","TestOneClassField","active NexusPas test with adjusted Nexus expectation","NexusPas.PassrcPort.ClassFieldMethodStructuralVariants","NexusPas asserts structural member symbols and declared type text; passrc AST/object-model expectations are intentionally not preserved."
"tcclasstype.pas","TTestClassType","TestOneFieldVisibility","deferred because NexusPas does not yet support the required feature","","Not yet ported as an active NexusPas assertion in this milestone; tracked for future parser coverage."
"tcclasstype.pas","TTestClassType","TestOneFieldDeprecated","deferred because NexusPas does not yet support the required feature","","Not yet ported as an active NexusPas assertion in this milestone; tracked for future parser coverage."
"tcclasstype.pas","TTestClassType","TestTwoFields","active NexusPas test with adjusted Nexus expectation","NexusPas.PassrcPort.ClassFieldMethodStructuralVariants","NexusPas asserts structural member symbols and declared type text; passrc AST/object-model expectations are intentionally not preserved."
"tcclasstype.pas","TTestClassType","TestTwoFieldsB","active NexusPas test with adjusted Nexus expectation","NexusPas.PassrcPort.ClassFieldMethodStructuralVariants","NexusPas asserts structural member symbols and declared type text; passrc AST/object-model expectations are intentionally not preserved."
"tcclasstype.pas","TTestClassType","TestTwoVarFieldsB","active NexusPas test with adjusted Nexus expectation","NexusPas.PassrcPort.ClassFieldMethodStructuralVariants","NexusPas asserts structural member symbols and declared type text; passrc AST/object-model expectations are intentionally not preserved."
"tcclasstype.pas","TTestClassType","TestNoVarFields","active NexusPas test with adjusted Nexus expectation","NexusPas.PassrcPort.ClassFieldMethodStructuralVariants","NexusPas asserts structural member symbols and declared type text; passrc AST/object-model expectations are intentionally not preserved."
"tcclasstype.pas","TTestClassType","TestVarClassFunction","active NexusPas test with adjusted Nexus expectation","NexusPas.PassrcPort.ClassFieldMethodStructuralVariants","NexusPas asserts structural member symbols and declared type text; passrc AST/object-model expectations are intentionally not preserved."
"tcclasstype.pas","TTestClassType","TestClassVarClassFunction","active NexusPas test with adjusted Nexus expectation","NexusPas.PassrcPort.ClassFieldMethodStructuralVariants","NexusPas asserts structural member symbols and declared type text; passrc AST/object-model expectations are intentionally not preserved."
"tcclasstype.pas","TTestClassType","TestTwoFieldsVisibility","deferred because NexusPas does not yet support the required feature","","Not yet ported as an active NexusPas assertion in this milestone; tracked for future parser coverage."
"tcclasstype.pas","TTestClassType","TestConstProtectedEnd","deferred because NexusPas does not yet support the required feature","","Not yet ported as an active NexusPas assertion in this milestone; tracked for future parser coverage."
"tcclasstype.pas","TTestClassType","TestTypeProtectedEnd","deferred because NexusPas does not yet support the required feature","","Not yet ported as an active NexusPas assertion in this milestone; tracked for future parser coverage."
"tcclasstype.pas","TTestClassType","TestVarProtectedEnd","deferred because NexusPas does not yet support the required feature","","Not yet ported as an active NexusPas assertion in this milestone; tracked for future parser coverage."
"tcclasstype.pas","TTestClassType","TestHintFieldDeprecated","deferred because NexusPas does not yet support the required feature","","Not yet ported as an active NexusPas assertion in this milestone; tracked for future parser coverage."
"tcclasstype.pas","TTestClassType","TestHintFieldPlatform","deferred because NexusPas does not yet support the required feature","","Not yet ported as an active NexusPas assertion in this milestone; tracked for future parser coverage."
"tcclasstype.pas","TTestClassType","TestHintFieldExperimental","deferred because NexusPas does not yet support the required feature","","Not yet ported as an active NexusPas assertion in this milestone; tracked for future parser coverage."
"tcclasstype.pas","TTestClassType","TestHintFieldLibraryError","deferred because NexusPas does not yet support the required feature","","Not yet ported as an active NexusPas assertion in this milestone; tracked for future parser coverage."
"tcclasstype.pas","TTestClassType","TestHintFieldUninmplemented","deferred because NexusPas does not yet support the required feature","","Not yet ported as an active NexusPas assertion in this milestone; tracked for future parser coverage."
"tcclasstype.pas","TTestClassType","TestOneVarFieldExternalName","deferred because NexusPas does not yet support the required feature","","Not yet ported as an active NexusPas assertion in this milestone; tracked for future parser coverage."
"tcclasstype.pas","TTestClassType","TestOneVarFieldExternalNameSemicolon","deferred because NexusPas does not yet support the required feature","","Not yet ported as an active NexusPas assertion in this milestone; tracked for future parser coverage."
"tcclasstype.pas","TTestClassType","TestMethodSimple","active NexusPas test with adjusted Nexus expectation","NexusPas.PassrcPort.ClassMembersAndPropertySymbols","Class method behavior translated to nested Nexus symbol."
"tcclasstype.pas","TTestClassType","TestMethodSimpleComment","deferred because NexusPas does not yet support the required feature","","Not yet ported as an active NexusPas assertion in this milestone; tracked for future parser coverage."
"tcclasstype.pas","TTestClassType","TestMethodWithDotFails","deferred because NexusPas does not yet support the required feature","","Not yet ported as an active NexusPas assertion in this milestone; tracked for future parser coverage."
"tcclasstype.pas","TTestClassType","TestMethodWithDotOK","deferred because NexusPas does not yet support the required feature","","Not yet ported as an active NexusPas assertion in this milestone; tracked for future parser coverage."
"tcclasstype.pas","TTestClassType","TestMethodFunctionWithDotOK","deferred because NexusPas does not yet support the required feature","","Not yet ported as an active NexusPas assertion in this milestone; tracked for future parser coverage."
"tcclasstype.pas","TTestClassType","TestClassMethodSimple","active NexusPas test with adjusted Nexus expectation","NexusPas.PassrcPort.ClassFieldMethodStructuralVariants","NexusPas asserts structural member symbols and declared type text; passrc AST/object-model expectations are intentionally not preserved."
"tcclasstype.pas","TTestClassType","TestClassMethodSimpleComment","deferred because NexusPas does not yet support the required feature","","Not yet ported as an active NexusPas assertion in this milestone; tracked for future parser coverage."
"tcclasstype.pas","TTestClassType","TestConstructor","active NexusPas test with adjusted Nexus expectation","NexusPas.PassrcPort.ClassFieldMethodStructuralVariants","NexusPas asserts structural member symbols and declared type text; passrc AST/object-model expectations are intentionally not preserved."
"tcclasstype.pas","TTestClassType","TestClassConstructor","active NexusPas test with adjusted Nexus expectation","NexusPas.PassrcPort.StructuredTypeHeritageConstructorsProperties","Constructor declaration is translated to a nested NexusPas routine symbol."
"tcclasstype.pas","TTestClassType","TestDestructor","active NexusPas test with adjusted Nexus expectation","NexusPas.PassrcPort.StructuredTypeHeritageConstructorsProperties","Destructor declaration is translated to a nested NexusPas routine symbol."
"tcclasstype.pas","TTestClassType","TestClassDestructor","active NexusPas test with adjusted Nexus expectation","NexusPas.PassrcPort.ClassFieldMethodStructuralVariants","NexusPas asserts structural member symbols and declared type text; passrc AST/object-model expectations are intentionally not preserved."
"tcclasstype.pas","TTestClassType","TestFunctionMethodSimple","active NexusPas test with adjusted Nexus expectation","NexusPas.PassrcPort.ClassFieldMethodStructuralVariants","NexusPas asserts structural member symbols and declared type text; passrc AST/object-model expectations are intentionally not preserved."
"tcclasstype.pas","TTestClassType","TestClassFunctionMethodSimple","active NexusPas test with adjusted Nexus expectation","NexusPas.PassrcPort.ClassFieldMethodStructuralVariants","NexusPas asserts structural member symbols and declared type text; passrc AST/object-model expectations are intentionally not preserved."
"tcclasstype.pas","TTestClassType","TestMethodOneArg","active NexusPas test with adjusted Nexus expectation","NexusPas.PassrcPort.ClassFieldMethodStructuralVariants","NexusPas asserts structural member symbols and declared type text; passrc AST/object-model expectations are intentionally not preserved."
"tcclasstype.pas","TTestClassType","TestMethodVirtual","active NexusPas test with adjusted Nexus expectation","NexusPas.PassrcPort.ClassFieldMethodStructuralVariants","NexusPas asserts structural member symbols and declared type text; passrc AST/object-model expectations are intentionally not preserved."
"tcclasstype.pas","TTestClassType","TestMethodVirtualSemicolon","active NexusPas test with adjusted Nexus expectation","NexusPas.PassrcPort.ClassFieldMethodStructuralVariants","NexusPas asserts structural member symbols and declared type text; passrc AST/object-model expectations are intentionally not preserved."
"tcclasstype.pas","TTestClassType","TestMethodVirtualAbstract","active NexusPas test with adjusted Nexus expectation","NexusPas.PassrcPort.ClassFieldMethodStructuralVariants","NexusPas asserts structural member symbols and declared type text; passrc AST/object-model expectations are intentionally not preserved."
"tcclasstype.pas","TTestClassType","TestMethodVirtualAbstractFinal","active NexusPas test with adjusted Nexus expectation","NexusPas.PassrcPort.ClassFieldMethodStructuralVariants","NexusPas asserts structural member symbols and declared type text; passrc AST/object-model expectations are intentionally not preserved."
"tcclasstype.pas","TTestClassType","TestMethodOverride","active NexusPas test with adjusted Nexus expectation","NexusPas.PassrcPort.ClassFieldMethodStructuralVariants","NexusPas asserts structural member symbols and declared type text; passrc AST/object-model expectations are intentionally not preserved."
"tcclasstype.pas","TTestClassType","TestMethodDynamic","active NexusPas test with adjusted Nexus expectation","NexusPas.PassrcPort.ClassFieldMethodStructuralVariants","NexusPas asserts structural member symbols and declared type text; passrc AST/object-model expectations are intentionally not preserved."
"tcclasstype.pas","TTestClassType","TestMethodReintroduce","active NexusPas test with adjusted Nexus expectation","NexusPas.PassrcPort.ClassFieldMethodStructuralVariants","NexusPas asserts structural member symbols and declared type text; passrc AST/object-model expectations are intentionally not preserved."
"tcclasstype.pas","TTestClassType","TestMethodInline","active NexusPas test with adjusted Nexus expectation","NexusPas.PassrcPort.ClassFieldMethodStructuralVariants","NexusPas asserts structural member symbols and declared type text; passrc AST/object-model expectations are intentionally not preserved."
"tcclasstype.pas","TTestClassType","TestMethodVisibility","deferred because NexusPas does not yet support the required feature","","Not yet ported as an active NexusPas assertion in this milestone; tracked for future parser coverage."
"tcclasstype.pas","TTestClassType","TestMethodSVisibility","deferred because NexusPas does not yet support the required feature","","Not yet ported as an active NexusPas assertion in this milestone; tracked for future parser coverage."
"tcclasstype.pas","TTestClassType","TestMethodOverloadVisibility","deferred because NexusPas does not yet support the required feature","","Not yet ported as an active NexusPas assertion in this milestone; tracked for future parser coverage."
"tcclasstype.pas","TTestClassType","TestMethodHint","deferred because NexusPas does not yet support the required feature","","Not yet ported as an active NexusPas assertion in this milestone; tracked for future parser coverage."
"tcclasstype.pas","TTestClassType","TestMethodVirtualHint","deferred because NexusPas does not yet support the required feature","","Not yet ported as an active NexusPas assertion in this milestone; tracked for future parser coverage."
"tcclasstype.pas","TTestClassType","TestIntegerMessageMethod","deferred because NexusPas does not yet support the required feature","","Not yet ported as an active NexusPas assertion in this milestone; tracked for future parser coverage."
"tcclasstype.pas","TTestClassType","TestStringMessageMethod","deferred because NexusPas does not yet support the required feature","","Not yet ported as an active NexusPas assertion in this milestone; tracked for future parser coverage."
"tcclasstype.pas","TTestClassType","Test2Methods","active NexusPas test with adjusted Nexus expectation","NexusPas.PassrcPort.ClassFieldMethodStructuralVariants","NexusPas asserts structural member symbols and declared type text; passrc AST/object-model expectations are intentionally not preserved."
"tcclasstype.pas","TTestClassType","Test2MethodsDifferentVisibility","active NexusPas test with adjusted Nexus expectation","NexusPas.PassrcPort.ClassFieldMethodStructuralVariants","NexusPas asserts structural member symbols and declared type text; passrc AST/object-model expectations are intentionally not preserved."
"tcclasstype.pas","TTestClassType","TestPropertyRedeclare","deferred because NexusPas does not yet support the required feature","","Not yet ported as an active NexusPas assertion in this milestone; tracked for future parser coverage."
"tcclasstype.pas","TTestClassType","TestPropertyRedeclareComment","deferred because NexusPas does not yet support the required feature","","Not yet ported as an active NexusPas assertion in this milestone; tracked for future parser coverage."
"tcclasstype.pas","TTestClassType","TestPropertyRedeclareDefault","deferred because NexusPas does not yet support the required feature","","Not yet ported as an active NexusPas assertion in this milestone; tracked for future parser coverage."
"tcclasstype.pas","TTestClassType","TestPropertyReadOnly","active NexusPas test with adjusted Nexus expectation","NexusPas.PassrcPort.ClassMembersAndPropertySymbols","Property behavior translated to nested Nexus symbol."
"tcclasstype.pas","TTestClassType","TestPropertyReadWrite","active NexusPas test with adjusted Nexus expectation","NexusPas.PassrcPort.StructuredTypeHeritageConstructorsProperties","Property declaration behavior translated to NexusPas property symbol and declared-type assertions; accessors/defaults are not semantically resolved."
"tcclasstype.pas","TTestClassType","TestPropertyWriteOnly","active NexusPas test with adjusted Nexus expectation","NexusPas.PassrcPort.PropertyInterfaceAndRecordStructuralVariants","NexusPas asserts structural property/interface/record symbols and declared type text; accessor and semantic validation are intentionally not modeled."
"tcclasstype.pas","TTestClassType","TestPropertyDefault","active NexusPas test with adjusted Nexus expectation","NexusPas.PassrcPort.StructuredTypeHeritageConstructorsProperties","Property declaration behavior translated to NexusPas property symbol and declared-type assertions; accessors/defaults are not semantically resolved."
"tcclasstype.pas","TTestClassType","TestPropertyNoDefault","active NexusPas test with adjusted Nexus expectation","NexusPas.PassrcPort.PropertyInterfaceAndRecordStructuralVariants","NexusPas asserts structural property/interface/record symbols and declared type text; accessor and semantic validation are intentionally not modeled."
"tcclasstype.pas","TTestClassType","TestPropertyIndex","active NexusPas test with adjusted Nexus expectation","NexusPas.PassrcPort.StructuredTypeHeritageConstructorsProperties","Property declaration behavior translated to NexusPas property symbol and declared-type assertions; accessors/defaults are not semantically resolved."
"tcclasstype.pas","TTestClassType","TestPropertyStored","active NexusPas test with adjusted Nexus expectation","NexusPas.PassrcPort.PropertyInterfaceAndRecordStructuralVariants","NexusPas asserts structural property/interface/record symbols and declared type text; accessor and semantic validation are intentionally not modeled."
"tcclasstype.pas","TTestClassType","TestPropertyStoredFalse","active NexusPas test with adjusted Nexus expectation","NexusPas.PassrcPort.PropertyInterfaceAndRecordStructuralVariants","NexusPas asserts structural property/interface/record symbols and declared type text; accessor and semantic validation are intentionally not modeled."
"tcclasstype.pas","TTestClassType","TestPropertyFullyQualifiedType","active NexusPas test with adjusted Nexus expectation","NexusPas.PassrcPort.PropertyInterfaceAndRecordStructuralVariants","NexusPas asserts structural property/interface/record symbols and declared type text; accessor and semantic validation are intentionally not modeled."
"tcclasstype.pas","TTestClassType","TestPropertyArrayReadOnly","active NexusPas test with adjusted Nexus expectation","NexusPas.PassrcPort.StructuredTypeHeritageConstructorsProperties","Property declaration behavior translated to NexusPas property symbol and declared-type assertions; accessors/defaults are not semantically resolved."
"tcclasstype.pas","TTestClassType","TestPropertyArrayReadWrite","active NexusPas test with adjusted Nexus expectation","NexusPas.PassrcPort.PropertyInterfaceAndRecordStructuralVariants","NexusPas asserts structural property/interface/record symbols and declared type text; accessor and semantic validation are intentionally not modeled."
"tcclasstype.pas","TTestClassType","TestPropertyArrayReadOnlyDefault","active NexusPas test with adjusted Nexus expectation","NexusPas.PassrcPort.StructuredTypeHeritageConstructorsProperties","Property declaration behavior translated to NexusPas property symbol and declared-type assertions; accessors/defaults are not semantically resolved."
"tcclasstype.pas","TTestClassType","TestPropertyArrayReadWriteDefault","active NexusPas test with adjusted Nexus expectation","NexusPas.PassrcPort.PropertyInterfaceAndRecordStructuralVariants","NexusPas asserts structural property/interface/record symbols and declared type text; accessor and semantic validation are intentionally not modeled."
"tcclasstype.pas","TTestClassType","TestPropertyArrayMultiDimReadOnly","active NexusPas test with adjusted Nexus expectation","NexusPas.PassrcPort.PropertyInterfaceAndRecordStructuralVariants","NexusPas asserts structural property/interface/record symbols and declared type text; accessor and semantic validation are intentionally not modeled."
"tcclasstype.pas","TTestClassType","TestPropertyImplements","active NexusPas test with adjusted Nexus expectation","NexusPas.PassrcPort.PropertyInterfaceAndRecordStructuralVariants","NexusPas asserts structural property/interface/record symbols and declared type text; accessor and semantic validation are intentionally not modeled."
"tcclasstype.pas","TTestClassType","TestPropertyImplementsFullyQualifiedName","active NexusPas test with adjusted Nexus expectation","NexusPas.PassrcPort.PropertyInterfaceAndRecordStructuralVariants","NexusPas asserts structural property/interface/record symbols and declared type text; accessor and semantic validation are intentionally not modeled."
"tcclasstype.pas","TTestClassType","TestPropertyReadFromRecordField","deferred because NexusPas does not yet support the required feature","","Not yet ported as an active NexusPas assertion in this milestone; tracked for future parser coverage."
"tcclasstype.pas","TTestClassType","TestPropertyReadFromArrayField","deferred because NexusPas does not yet support the required feature","","Not yet ported as an active NexusPas assertion in this milestone; tracked for future parser coverage."
"tcclasstype.pas","TTestClassType","TestPropertyReadWriteFromRecordField","deferred because NexusPas does not yet support the required feature","","Not yet ported as an active NexusPas assertion in this milestone; tracked for future parser coverage."
"tcclasstype.pas","TTestClassType","TestPropertyDeprecated","deferred because NexusPas does not yet support the required feature","","Not yet ported as an active NexusPas assertion in this milestone; tracked for future parser coverage."
"tcclasstype.pas","TTestClassType","TestPropertyDeprecatedMessage","deferred because NexusPas does not yet support the required feature","","Not yet ported as an active NexusPas assertion in this milestone; tracked for future parser coverage."
"tcclasstype.pas","TTestClassType","TestExternalClass","deferred because NexusPas does not yet support the required feature","","Not yet ported as an active NexusPas assertion in this milestone; tracked for future parser coverage."
"tcclasstype.pas","TTestClassType","TestExternalClassNoNameSpace","deferred because NexusPas does not yet support the required feature","","Not yet ported as an active NexusPas assertion in this milestone; tracked for future parser coverage."
"tcclasstype.pas","TTestClassType","TestExternalClassNoNameKeyWord","deferred because NexusPas does not yet support the required feature","","Not yet ported as an active NexusPas assertion in this milestone; tracked for future parser coverage."
"tcclasstype.pas","TTestClassType","TestExternalClassNoName","deferred because NexusPas does not yet support the required feature","","Not yet ported as an active NexusPas assertion in this milestone; tracked for future parser coverage."
"tcclasstype.pas","TTestClassType","TestLocalSimpleType","deferred because NexusPas does not yet support the required feature","","Not yet ported as an active NexusPas assertion in this milestone; tracked for future parser coverage."
"tcclasstype.pas","TTestClassType","TestLocalSimpleTypes","deferred because NexusPas does not yet support the required feature","","Not yet ported as an active NexusPas assertion in this milestone; tracked for future parser coverage."
"tcclasstype.pas","TTestClassType","TestLocalSimpleConst","deferred because NexusPas does not yet support the required feature","","Not yet ported as an active NexusPas assertion in this milestone; tracked for future parser coverage."
"tcclasstype.pas","TTestClassType","TestLocalSimpleConsts","deferred because NexusPas does not yet support the required feature","","Not yet ported as an active NexusPas assertion in this milestone; tracked for future parser coverage."
"tcclasstype.pas","TTestClassType","TestClassTypeAttributes","deferred because NexusPas does not yet support the required feature","","Not yet ported as an active NexusPas assertion in this milestone; tracked for future parser coverage."
"tcclasstype.pas","TTestClassType","TestClassConstAttributes","deferred because NexusPas does not yet support the required feature","","Not yet ported as an active NexusPas assertion in this milestone; tracked for future parser coverage."
"tcclasstype.pas","TTestClassType","TestClassHelperEmpty","deferred because NexusPas does not yet support the required feature","","Not yet ported as an active NexusPas assertion in this milestone; tracked for future parser coverage."
"tcclasstype.pas","TTestClassType","TestClassHelperParentedEmpty","deferred because NexusPas does not yet support the required feature","","Not yet ported as an active NexusPas assertion in this milestone; tracked for future parser coverage."
"tcclasstype.pas","TTestClassType","TestClassHelperOneMethod","deferred because NexusPas does not yet support the required feature","","Not yet ported as an active NexusPas assertion in this milestone; tracked for future parser coverage."
"tcclasstype.pas","TTestClassType","TestInterfaceEmpty","active NexusPas test with adjusted Nexus expectation","NexusPas.PassrcPort.PropertyInterfaceAndRecordStructuralVariants","NexusPas asserts structural property/interface/record symbols and declared type text; accessor and semantic validation are intentionally not modeled."
"tcclasstype.pas","TTestClassType","TestObjcProtocolEmpty","deferred because NexusPas does not yet support the required feature","","Not yet ported as an active NexusPas assertion in this milestone; tracked for future parser coverage."
"tcclasstype.pas","TTestClassType","TestInterfaceDisp","deferred because NexusPas does not yet support the required feature","","Not yet ported as an active NexusPas assertion in this milestone; tracked for future parser coverage."
"tcclasstype.pas","TTestClassType","TestInterfaceParentedEmpty","active NexusPas test with adjusted Nexus expectation","NexusPas.PassrcPort.PropertyInterfaceAndRecordStructuralVariants","NexusPas asserts structural property/interface/record symbols and declared type text; accessor and semantic validation are intentionally not modeled."
"tcclasstype.pas","TTestClassType","TestInterfaceOneMethod","active NexusPas test with adjusted Nexus expectation","NexusPas.PassrcPort.ObjectRecordInterfaceMemberSymbols","Interface method behavior translated to nested Nexus routine symbol."
"tcclasstype.pas","TTestClassType","TestInterfaceDispIDMethod","deferred because NexusPas does not yet support the required feature","","Not yet ported as an active NexusPas assertion in this milestone; tracked for future parser coverage."
"tcclasstype.pas","TTestClassType","TestInterfaceDispIDMethod2","deferred because NexusPas does not yet support the required feature","","Not yet ported as an active NexusPas assertion in this milestone; tracked for future parser coverage."
"tcclasstype.pas","TTestClassType","TestInterfaceProperty","active NexusPas test with adjusted Nexus expectation","NexusPas.PassrcPort.PropertyInterfaceAndRecordStructuralVariants","NexusPas asserts structural property/interface/record symbols and declared type text; accessor and semantic validation are intentionally not modeled."
"tcclasstype.pas","TTestClassType","TestInterfaceDispProperty","deferred because NexusPas does not yet support the required feature","","Not yet ported as an active NexusPas assertion in this milestone; tracked for future parser coverage."
"tcclasstype.pas","TTestClassType","TestInterfaceDispPropertyReadOnly","deferred because NexusPas does not yet support the required feature","","Not yet ported as an active NexusPas assertion in this milestone; tracked for future parser coverage."
"tcclasstype.pas","TTestClassType","TestInterfaceNoConstructor","deferred because NexusPas does not yet support the required feature","","Not yet ported as an active NexusPas assertion in this milestone; tracked for future parser coverage."
"tcclasstype.pas","TTestClassType","TestInterfaceNoDestructor","deferred because NexusPas does not yet support the required feature","","Not yet ported as an active NexusPas assertion in this milestone; tracked for future parser coverage."
"tcclasstype.pas","TTestClassType","TestInterfaceNoFields","deferred because NexusPas does not yet support the required feature","","Not yet ported as an active NexusPas assertion in this milestone; tracked for future parser coverage."
"tcclasstype.pas","TTestClassType","TestInterfaceUUID","deferred because NexusPas does not yet support the required feature","","Not yet ported as an active NexusPas assertion in this milestone; tracked for future parser coverage."
"tcclasstype.pas","TTestClassType","TestInterfaceUUIDParentedEmpty","deferred because NexusPas does not yet support the required feature","","Not yet ported as an active NexusPas assertion in this milestone; tracked for future parser coverage."
"tcclasstype.pas","TTestClassType","TestInterfaceUUIDOneMethod","deferred because NexusPas does not yet support the required feature","","Not yet ported as an active NexusPas assertion in this milestone; tracked for future parser coverage."
"tcclasstype.pas","TTestClassType","TestRecordHelperEmpty","deferred because NexusPas does not yet support the required feature","","Not yet ported as an active NexusPas assertion in this milestone; tracked for future parser coverage."
"tcclasstype.pas","TTestClassType","TestRecordHelperParentedEmpty","deferred because NexusPas does not yet support the required feature","","Not yet ported as an active NexusPas assertion in this milestone; tracked for future parser coverage."
"tcclasstype.pas","TTestClassType","TestRecordHelperOneMethod","deferred because NexusPas does not yet support the required feature","","Not yet ported as an active NexusPas assertion in this milestone; tracked for future parser coverage."
"tcexprparser.pas","TTestExpressions","TestPrimitiveInteger","deferred because NexusPas does not yet support the required feature","","Requires full expression parser/evaluator behavior."
"tcexprparser.pas","TTestExpressions","TestPrimitiveIntegerHex","deferred because NexusPas does not yet support the required feature","","Requires full expression parser/evaluator behavior."
"tcexprparser.pas","TTestExpressions","TestPrimitiveIntegerOctal","deferred because NexusPas does not yet support the required feature","","Requires full expression parser/evaluator behavior."
"tcexprparser.pas","TTestExpressions","TestPrimitiveIntegerBinary","deferred because NexusPas does not yet support the required feature","","Requires full expression parser/evaluator behavior."
"tcexprparser.pas","TTestExpressions","TestPrimitiveDouble","deferred because NexusPas does not yet support the required feature","","Requires full expression parser/evaluator behavior."
"tcexprparser.pas","TTestExpressions","TestPrimitiveDouble2","deferred because NexusPas does not yet support the required feature","","Requires full expression parser/evaluator behavior."
"tcexprparser.pas","TTestExpressions","TestPrimitiveDouble3","deferred because NexusPas does not yet support the required feature","","Requires full expression parser/evaluator behavior."
"tcexprparser.pas","TTestExpressions","TestPrimitiveDouble4","deferred because NexusPas does not yet support the required feature","","Requires full expression parser/evaluator behavior."
"tcexprparser.pas","TTestExpressions","TestPrimitiveDouble5","deferred because NexusPas does not yet support the required feature","","Requires full expression parser/evaluator behavior."
"tcexprparser.pas","TTestExpressions","TestPrimitiveDouble6","deferred because NexusPas does not yet support the required feature","","Requires full expression parser/evaluator behavior."
"tcexprparser.pas","TTestExpressions","TestPrimitiveDouble7","deferred because NexusPas does not yet support the required feature","","Requires full expression parser/evaluator behavior."
"tcexprparser.pas","TTestExpressions","TestPrimitiveDouble8","deferred because NexusPas does not yet support the required feature","","Requires full expression parser/evaluator behavior."
"tcexprparser.pas","TTestExpressions","TestPrimitiveDouble9","deferred because NexusPas does not yet support the required feature","","Requires full expression parser/evaluator behavior."
"tcexprparser.pas","TTestExpressions","TestPrimitiveDouble10","deferred because NexusPas does not yet support the required feature","","Requires full expression parser/evaluator behavior."
"tcexprparser.pas","TTestExpressions","TestPrimitiveDouble11","deferred because NexusPas does not yet support the required feature","","Requires full expression parser/evaluator behavior."
"tcexprparser.pas","TTestExpressions","TestPrimitiveString","deferred because NexusPas does not yet support the required feature","","Requires full expression parser/evaluator behavior."
"tcexprparser.pas","TTestExpressions","TestPrimitiveIdent","deferred because NexusPas does not yet support the required feature","","Requires full expression parser/evaluator behavior."
"tcexprparser.pas","TTestExpressions","TestPrimitiveBooleanFalse","deferred because NexusPas does not yet support the required feature","","Requires full expression parser/evaluator behavior."
"tcexprparser.pas","TTestExpressions","TestPrimitiveBooleanTrue","deferred because NexusPas does not yet support the required feature","","Requires full expression parser/evaluator behavior."
"tcexprparser.pas","TTestExpressions","TestPrimitiveNil","deferred because NexusPas does not yet support the required feature","","Requires full expression parser/evaluator behavior."
